Z:\home\cetin\projects\elkarto\esp32\laptop>python monitor.py
connecting to ws://192.168.4.1:81 ...
connected. type: kp <kp> <ki> <kd>  to push new PID gains
[11:43:05] gas=2165 brake=3369 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:05] gas=2244 brake=3365 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:05] gas=2287 brake=3367 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:05] gas=2283 brake=3370 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:05] gas=2237 brake=3373 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:05] gas=2236 brake=3367 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:05] gas=2225 brake=3370 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:05] gas=2220 brake=3366 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:06] gas=2223 brake=3370 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:06] gas=2224 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:06] gas=2219 brake=3375 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:06] gas=2172 brake=3366 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:06] gas=2176 brake=3378 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:06] gas=2268 brake=3369 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:06] gas=2168 brake=3367 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:06] gas=2179 brake=3366 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:06] gas=2185 brake=3373 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:06] gas=2185 brake=3360 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:06] gas=2185 brake=3371 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:06] gas=2190 brake=3366 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:06] gas=2186 brake=3370 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:06] gas=2188 brake=3367 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:06] gas=2183 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:06] gas=2189 brake=3370 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:06] gas=2184 brake=3369 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:06] gas=2188 brake=3356 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:06] gas=2185 brake=3367 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:06] gas=2187 brake=3367 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[esp32] uptime=66000ms heap=224908B clients=1
